Channel,Season,Status,Color Choice,Gender,Product Line,Product Class,Product Sub Class,Silhouette,Style Code,Style Name,Color,Size Scale,SILHOUETTE USED FOR SIZING,Size Weight Code,,
Ecomm,FAHO25,Active,VW4363BCO,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4363,Vuori AllTheFeels Corset Legging,Blue Coast,XS-XL,BLISSBLEND,WNUSECLEGGINGSBLISSB,,
Ecomm,FAHO25,Active,VW4363STP,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4363,Vuori AllTheFeels Corset Legging,Smokey Taupe,XS-XL,BLISSBLEND,WNUSECLEGGINGSBLISSB,,
Ecomm,FAHO25,Active,VW4307BLK,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4307,Vuori AllTheFeels Crop Legging,Black,XS-XL,BLISSBLEND,WNUSECLEGGINGSBLISSB,,
Ecomm,FAHO25,Active,VW4307STP,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4307,Vuori AllTheFeels Crop Legging,Smokey Taupe,XS-XL,BLISSBLEND,WNUSECLEGGINGSBLISSB,,
Ecomm,FAHO25,Active,VW4018BLK,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4018,Vuori AllTheFeels Legging,Black,XXS-XXL,BLISSBLEND,WNUSECLEGGINGSBLISSB EXT,,
Ecomm,FAHO25,Active,VW4018BCO,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4018,Vuori AllTheFeels Legging,Blue Coast,XXS-XXL,BLISSBLEND,WNUSECLEGGINGSBLISSB EXT,,
Ecomm,FAHO25,Active,VW4018CRR,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4018,Vuori AllTheFeels Legging,Cherry,XXS-XXL,BLISSBLEND,WNUSECLEGGINGSBLISSB EXT,,
Ecomm,FAHO25,Active,VW4018EVG,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4018,Vuori AllTheFeels Legging,Evergreen,XXS-XXL,BLISSBLEND,WNUSECLEGGINGSBLISSB EXT,,
Ecomm,FAHO25,Active,VW4018JAV,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4018,Vuori AllTheFeels Legging,Java,XXS-XXL,BLISSBLEND,WNUSECLEGGINGSBLISSB EXT,,
Ecomm,FAHO25,Active,VW4018-LBLK,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4018-L,Vuori AllTheFeels Legging-Long,Black,XS-XL,BLISSBLEND - LONG,WNUSECLEGGINGSBLISSB LONG,,
Ecomm,FAHO25,Active,VW4018-LBCO,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4018-L,Vuori AllTheFeels Legging-Long,Blue Coast,XS-XL,BLISSBLEND - LONG,WNUSECLEGGINGSBLISSB LONG,,
Ecomm,FAHO25,Active,VW4018-LEVG,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4018-L,Vuori AllTheFeels Legging-Long,Evergreen,XS-XL,BLISSBLEND - LONG,WNUSECLEGGINGSBLISSB LONG,,
Ecomm,FAHO25,Active,VW4018-LMAG,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4018-L,Vuori AllTheFeels Legging-Long,Magenta,XS-XL,BLISSBLEND - LONG,WNUSECLEGGINGSBLISSB LONG,,
Ecomm,FAHO25,Active,VW4018-LSAS,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4018-L,Vuori AllTheFeels Legging-Long,Sea Spray,XS-XL,BLISSBLEND - LONG,WNUSECLEGGINGSBLISSB LONG,,
